NAME1,HEX1,HEX1a,NAME2,HEX2,HEX2a,RATIO,CODE
Midnight,#060227,#0a033e,Cerise,#E01F8A,#ff32dd,4.5,AA
Cloud Burst,#283152,#404e83,Pastel Green,#30DD7C,#4dffc6,7.1,AAA
Buccaneer,#642732,#a03e50,Apple,#5CBD48,#93ff73,4.7,AA
Tangaroa,#0D1338,#151e5a,Apple,#5BB94E,#92ff7d,7.3,AAA
Cumin,#8A3E15,#dd6322,Conifer,#B7D73D,#ffff62,4.6,AA
Thunder,#392632,#5b3d50,Lucky,#A7980D,#fff315,4.8,AA
Jaguar,#0F0316,#180523,Amaranth,#E13050,#ff4d80,4.5,AA
Matterhorn,#553E3F,#886365,Pale Leaf,#C1D1B6,#ffffff,6.1,AA
Stratos,#0B0140,#120266,Reno Sand,#B06C1D,#ffad2e,4.6,AA
Jaguar,#06000E,#0a0016,Limed Ash,#717A66,#b5c3a3,4.6,AA
Monza,#CB1328,#ff1e40,Green Yellow,#B1FB51,#ffff82,4.6,AA
Red Violet,#CD149F,#ff20fe,Yellow,#FDFF1F,#ffff32,4.6,AA
Dark Fern,#014B0A,#027810,Bright Turquoise,#27E2C7,#3effff,6.4,AA
Purple Heart,#4712B3,#721dff,Manz,#E3E980,#ffffcd,8.1,AAA
Tolopea,#240550,#3a0880,Lavender Purple,#8D85C3,#e2d5ff,5.2,AA
Meteorite,#311772,#4e25b6,Limeade,#84B317,#d3ff25,5.6,AA
Pale Sky,#627283,#9db6d2,Milan,#F6FCA5,#ffffff,4.6,AA
Rhino,#2E4269,#4a6aa8,Green Yellow,#9FEF41,#feff68,7.1,AAA
Jacaranda,#2D072E,#480b4a,Jade,#05A86C,#08ffad,5.8,AA
Chambray,#395993,#5b8eeb,Deco,#D0D98F,#ffffe5,4.6,AA
Purple,#A205C6,#ff08ff,Mint Green,#83F991,#d2ffe8,4.7,AA
Trendy Pink,#8D6299,#e29df5,Shalimar,#FFFFC0,#ffffff,4.7,AA
Claret,#700228,#b30340,Lavender Rose,#F5A1E5,#ffffff,6.4,AA
Valhalla,#211451,#352082,Fuchsia Pink,#DB4DC9,#ff7bff,4.6,AA
Cello,#1A3353,#2a5285,Scooter,#32BACE,#50ffff,5.5,AA
Black Pearl,#001320,#001e33,Havelock Blue,#0CA0F4,#13ffff,6.6,AA
Valhalla,#15174F,#22257e,Malachite,#35CD4E,#55ff7d,7.9,AAA
Diesel,#1B010D,#2b0215,Macaroni And Cheese,#FEB37B,#ffffc5,11.3,AAA
Claret,#8E1E3D,#e33062,Mint Green,#A0F396,#fffff0,6.6,AA
Wood Bark,#2C1101,#461b02,Brilliant Rose,#E441A5,#ff68ff,4.7,AA
Violet,#16053D,#230862,Limeade,#6D8F00,#aee500,5,AA
Marshland,#100D02,#1a1503,Olive,#858219,#d5d028,4.8,AA
Green House,#1E5606,#308a0a,Electric Lime,#32FA0D,#50ff15,6.2,AA
Loulou,#49063D,#750a62,Puce,#D3879A,#ffd8f6,5.6,AA
Loulou,#5D144F,#95207e,Heathered Gray,#B6B195,#ffffee,5.8,AA
Minsk,#3E2A78,#6343c0,Turquoise,#1ED7BE,#30ffff,6.4,AA
Sepia Black,#2C060A,#460a10,Fruit Salad,#569656,#8af08a,5.2,AA
Plum,#8D4686,#e270d6,Inch Worm,#C4FE7B,#ffffc5,5.3,AA
Downriver,#001B4C,#002b7a,International Orange,#F75600,#ff8a00,5,AA
Rebel,#3B1102,#5e1b03,Key Lime Pie,#CACD2F,#ffff4b,9.7,AAA
Sapphire,#2450A3,#3a80ff,Turquoise Blue,#1BE4F3,#2bffff,4.9,AA
Cocoa Bean,#48161A,#73232a,Del Rio,#A69490,#ffede6,5.2,AA
Blue,#1660E5,#239aff,Caper,#DDF6B7,#ffffff,4.7,AA
Lipstick,#BF0F67,#ff18a5,Beryl Green,#D2EAC6,#ffffff,4.7,AA
Dark Blue,#1900C0,#2800ff,Portage,#9EA0EA,#fdffff,4.8,AA
Tom Thumb,#3D5233,#628352,Botticelli,#C4D5E1,#ffffff,5.7,AA
Black Russian,#0A0020,#100033,Luxor Gold,#A48630,#ffd64d,5.8,AA
Dark Blue,#2C06D7,#460aff,Atlantis,#98D923,#f3ff38,5.8,AA
Fern Green,#3A7133,#5db552,Tea Green,#C9EEBE,#ffffff,4.6,AA
Purple Heart,#4413AC,#6d1eff,Key Lime Pie,#C9D737,#ffff58,6.9,AA
Pompadour,#781D5A,#c02e90,Canary,#E1F05C,#ffff93,7.9,AAA
Martinique,#362944,#56426d,Shamrock,#1EC69C,#30fffa,6.2,AA
Jacksons Purple,#2E2394,#4a38ed,Earls Green,#CAC12F,#ffff4b,6.3,AA
Black,#090719,#0e0b28,Razzmatazz,#ED0959,#ff0e8e,4.5,AA
Blue Charcoal,#010818,#020d26,Lima,#3FB51E,#65ff30,7.5,AAA
Midnight Blue,#063E76,#0a63bd,Green Yellow,#7AE92A,#c3ff43,6.9,AA
Purple Heart,#4A24C8,#763aff,Bright Turquoise,#29F0D8,#42ffff,6.1,AA
Potters Clay,#895137,#db8258,Aquamarine,#03FDD4,#05ffff,4.9,AA
Jaguar,#070614,#0b0a20,Green,#198B02,#28de03,4.5,AA
Voodoo,#592E50,#8e4a80,Malachite,#5FDA41,#98ff68,6,AA
Sherwood Green,#164A39,#23765b,Scooter,#03CBEA,#05ffff,5.2,AA
Plum,#81317E,#ce4eca,Turquoise Blue,#1ADFFA,#2affff,4.9,AA
Melanzane,#360F2B,#561845,Fern,#6FAB6C,#b2ffad,6.1,AA
Fuchsia Pink,#B141A8,#ff68ff,Tutu,#FAF1F8,#ffffff,4.5,AA
Carmine,#AC0620,#ff0a33,Bleach White,#FFF3D9,#ffffff,6.8,AA
Green House,#1A5105,#2a8208,Green Yellow,#A6F829,#ffff42,7.2,AAA
Jaguar,#060410,#0a061a,Grenadier,#D2490F,#ff7518,4.6,AA
Bronze,#401E08,#66300d,Olive Green,#A9A248,#ffff73,5.6,AA
Tapestry,#A85881,#ff8dce,Rice Flower,#EDFFE1,#ffffff,4.6,AA
Ultramarine,#171D9C,#252efa,Cold Purple,#B3ABEA,#ffffff,5.9,AA
Rhino,#32385B,#505a92,Tacao,#ECB182,#ffffd0,6,AA
Black,#0F1127,#181b3e,Olive Drab,#7A993A,#c3f55d,5.7,AA
Pomegranate,#E31D0C,#ff2e13,Spring Sun,#F4FFE0,#ffffff,4.5,AA
Violet Eggplant,#A71C9E,#ff2dfd,Tana,#DFE0C4,#ffffff,4.7,AA
Blue,#3607F5,#560bff,Aquamarine,#66ECC3,#a3ffff,5.7,AA
Green Pea,#0F5636,#188a56,Pastel Green,#5CD85E,#93ff96,4.8,AA
Dark Burgundy,#7C0C09,#c6130e,Bright Turquoise,#28E0D4,#40ffff,6.6,AA
Seance,#903BB1,#e65eff,Riptide,#9CF1DD,#faffff,4.7,AA
Black Russian,#0F061F,#180a32,Purple Heart,#9153FF,#e885ff,4.6,AA
Palm Green,#032202,#053603,Radical Red,#FD2360,#ff389a,4.5,AA
Sepia Black,#2C0A12,#46101d,Green,#199900,#28f500,4.8,AA
Blue Violet,#444FAD,#6d7eff,Pastel Green,#90EA81,#e6ffce,4.8,AA
Jacarta,#301F62,#4d329d,Christi,#6AAC22,#aaff36,5,AA
Maroon,#C01D54,#ff2e86,Jagged Ice,#C6EEE7,#ffffff,4.7,AA
Blue Charcoal,#060E1D,#0a162e,Fuchsia,#B064B5,#ffa0ff,4.9,AA
Gigas,#3F2E91,#654ae8,Golden Fizz,#E0F116,#ffff23,8.3,AAA
Horses Neck,#62450E,#9d6e16,Bright Green,#62F400,#9dff00,6.1,AA
Redwood,#561C0C,#8a2d13,Spring Green,#04FD7E,#06ffca,9.8,AAA
Cherry Pie,#130255,#1e0388,Fuchsia Pink,#C14FCC,#ff7eff,4.5,AA
Cosmic,#824A76,#d076bd,Screamin Green,#90F666,#e6ffa3,4.9,AA
Jacaranda,#2F0C31,#4b134e,Zest,#D9760D,#ffbd15,5.4,AA
Jacarta,#422263,#6a369e,Chatelle,#BCADC3,#ffffff,6,AA
Thunder,#3D2732,#623e50,Green Smoke,#9CB16E,#faffb0,5.8,AA
Cardinal Pink,#8D1870,#e226b3,Cherokee,#F3D18D,#ffffe2,5.7,AA
Sherpa Blue,#08464D,#0d707b,Malachite,#56D241,#8aff68,5.4,AA
Te Papa Green,#24433F,#3a6b65,Olivine,#9ABE7F,#f6ffcb,5.2,AA
Deep Koamaru,#1E1277,#301dbe,Sky Blue,#4CD2F7,#7affff,8.4,AAA
Scarlet Gum,#461560,#70229a,Jaffa,#E27C43,#ffc66b,4.7,AA
Purple Heart,#583FD4,#8d65ff,Feijoa,#9EEC8E,#fdffe3,4.8,AA
Palm Leaf,#0F2E07,#184a0b,Danube,#629FD3,#9dfeff,5.2,AA
Paua,#180061,#26009b,Emerald,#18C45F,#26ff98,7.5,AAA
Deep Cove,#04113E,#061b63,Persian Green,#2BA08E,#45ffe3,5.6,AA
Crown Of Thorns,#7D1E24,#c8303a,Electric Lime,#C7FB28,#ffff40,8.3,AAA
Congress Blue,#0E4288,#166ada,Neon Carrot,#FDA64B,#ffff78,5,AA
Dark Blue,#441DC7,#6d2eff,Green Mist,#D3DBB7,#ffffff,6.5,AA
Tolopea,#010248,#020373,Radical Red,#FB1A61,#ff2a9b,4.9,AA
Persian Plum,#6E2528,#b03b40,Bay Leaf,#86BC9B,#d6fff8,4.9,AA
Coffee Bean,#2F160D,#4b2315,Violet Red,#EC418C,#ff68e0,4.6,AA
Brown Tumbleweed,#372C0B,#584612,Mantis,#7DD179,#c8ffc2,7.4,AAA
Spicy Mustard,#655C08,#a2930d,Mint Green,#81ED97,#cefff2,4.7,AA
Clairvoyant,#5F025B,#980392,Mauve,#C9A0F8,#ffffff,6,AA
Butterfly Bush,#5D4FA1,#957eff,Green Yellow,#B7FE31,#ffff4e,5.6,AA
Smalt,#2838A5,#405aff,Bright Turquoise,#40E8CE,#66ffff,6.2,AA
Pompadour,#5C0A45,#93106e,Malachite,#19B326,#28ff3d,4.7,AA
Don Juan,#5E4752,#967283,Ceramic,#FAFFFB,#ffffff,8.3,AAA
Jaguar,#0C010A,#130210,Wisteria,#9369AF,#eba8ff,4.8,AA
Electric Violet,#5B0EEE,#9216ff,Spring Green,#20FA83,#33ffd2,5.5,AA
Black,#010200,#020300,Tapestry,#B05A76,#ff90bd,4.5,AA
Ultramarine,#440DA4,#6d15ff,Cascade,#91A9AB,#e8ffff,4.6,AA
Cape Cod,#343E38,#53635a,Electric Lime,#19EF04,#28ff06,7.1,AAA
Buccaneer,#6B2E33,#ab4a52,Orchid,#F0B0DE,#ffffff,5.8,AA
Rouge,#903462,#e6539d,Canary,#DDEE60,#ffff9a,5.8,AA
Tyrian Purple,#67053F,#a50865,Lima,#69BC19,#a8ff28,5.3,AA
Purple Heart,#5726D5,#8b3dff,Granny Smith Apple,#82EA9A,#d0fff6,5.4,AA
Deep Forest Green,#192C05,#284608,Light Orchid,#D78BD0,#ffdeff,6.1,AA
Mule Fawn,#8A452B,#dd6e45,Gorse,#F3E93A,#ffff5d,5.6,AA
Mikado,#252411,#3b3a1b,Japonica,#D07964,#ffc2a0,4.9,AA
Comet,#51587D,#828dc8,Caribbean Green,#27EFB5,#3effff,4.6,AA
Strikemaster,#985B80,#f392cd,Honeysuckle,#E6FD83,#ffffd2,4.5,AA
Bilbao,#3B7D02,#5ec803,Scandal,#D3FEF4,#ffffff,4.7,AA
Tamarind,#351519,#552228,Beaver,#A27F71,#ffcbb5,4.6,AA
Madison,#112560,#1b3b9a,Malachite,#45DA47,#6eff72,7.8,AAA
Melanzane,#3A0E2F,#5d164b,Medium Purple,#8C70FA,#e0b3ff,4.5,AA
Plum,#8F227E,#e536ca,Screamin Green,#6BF875,#abffbb,5.7,AA
Black Rose,#6E0934,#b00e53,Mantis,#86CF7A,#d6ffc3,6.4,AA
Purple Heart,#600DB4,#9a15ff,Witch Haze,#FEF998,#fffff3,8.7,AAA
Dune,#393031,#5b4d4e,Pastel Green,#8FEB89,#e5ffdb,8.8,AAA
Spice,#6D4633,#ae7052,Green Yellow,#B1F729,#ffff42,6.3,AA
Turtle Green,#243709,#3a580e,Emerald,#34D47F,#53ffcb,6.7,AA
International Klein Blue,#22289E,#3640fd,De York,#74BB84,#baffd3,4.9,AA
Catalina Blue,#0E348D,#1653e2,Olivine,#91BA7C,#e8ffc6,5,AA
Blue Ribbon,#004FE6,#007eff,Canary,#E6F061,#ffff9b,5.2,AA
Blue Dianne,#12444D,#1d6d7b,Rajah,#EAB259,#ffff8e,5.6,AA
Green Kelp,#2B331F,#455232,Polo Blue,#73A5C6,#b8ffff,5,AA
Maroon Flush,#BE1D44,#ff2e6d,Golden Fizz,#F1F732,#ffff50,5.2,AA
Black Pearl,#0D1A24,#152a3a,Beaver,#A17C69,#ffc6a8,4.7,AA
Cod Gray,#000808,#000d0d,Bondi Blue,#0386A1,#05d6ff,4.7,AA
Wine Berry,#431C31,#6b2d4e,Turmeric,#BCB64B,#ffff78,6.9,AA
Stiletto,#A02E2F,#ff4a4b,Chartreuse,#6DF512,#aeff1d,5,AA
Orient,#0E6386,#169ed6,Turquoise Blue,#64E7F5,#a0ffff,4.5,AA
Evening Sea,#0E4E41,#167d68,Winter Hazel,#D9D9A2,#ffffff,6.6,AA
Marshland,#010F0A,#021810,Rolling Stone,#717B7F,#b5c5cb,4.5,AA
Clairvoyant,#4A0D5C,#761593,Magenta,#F65FA6,#ff98ff,4.7,AA
Maroon Flush,#B70344,#ff056d,Moon Mist,#E0E0D0,#ffffff,5.1,AA
Royal Blue,#0F64DB,#18a0ff,Tea Green,#D3F9C1,#ffffff,4.7,AA
Casal,#1E596B,#308eab,Wattle,#D2D642,#ffff6a,5,AA
Tawny Port,#6A213B,#aa355e,Fire Bush,#E39536,#ffee56,4.6,AA
Electric Violet,#AE18F2,#ff26ff,Oyster Bay,#D6FAFE,#ffffff,4.5,AA
Black,#060216,#0a0323,Pink Flamingo,#C02EE1,#ff4aff,4.6,AA
Ultramarine,#2F07A2,#4b0bff,Key Lime Pie,#C1C403,#ffff05,6.7,AA
Guardsman Red,#D02A0A,#ff4310,Gossip,#C5FDB9,#ffffff,4.5,AA
Firefly,#092829,#0e4042,Cornflower Blue,#3594EA,#55edff,4.9,AA
Jambalaya,#5E3718,#965826,Yellow Orange,#FEB33E,#ffff63,5.8,AA
Black Rock,#0B0434,#120653,Torch Red,#F71226,#ff1d3d,4.7,AA
Mosque,#187171,#26b5b5,Yellow,#FAFE26,#ffff3d,5.3,AA
Cosmic,#693C58,#a8608d,Green Yellow,#80E907,#cdff0b,5.7,AA
Purple,#640B94,#a012ed,Lavender Rose,#F89AF1,#fff6ff,5.4,AA
Bossanova,#431B4A,#6b2b76,Dull Lavender,#9F86CF,#fed6ff,4.5,AA
Jacksons Purple,#22238A,#3638dd,Lavender Magenta,#F295EE,#ffeeff,6.2,AA
Violet Eggplant,#C000AD,#ff00ff,Mindaro,#E1F485,#ffffd5,4.5,AA
La Palma,#2B830A,#45d210,Chiffon,#FBFFC8,#ffffff,4.6,AA
Persian Blue,#1927AF,#283eff,Tana,#DEE1C7,#ffffff,8,AAA
Shiraz,#A91137,#ff1b58,Negroni,#FBDDBC,#ffffff,5.7,AA
Burnt Umber,#832E23,#d24a38,Corn,#F3CA16,#ffff23,5.6,AA
Cardinal Pink,#99226E,#f536b0,Sprout,#B8D8A8,#ffffff,4.8,AA
Purple,#9700B7,#f200ff,Mint Green,#4CF69D,#7afffb,5,AA
Dark Fern,#144303,#206b05,Golden Grass,#DEAF2C,#ffff46,5.6,AA
Blue Zodiac,#1C2242,#2d366a,Blue Chill,#119DA0,#1bfbff,4.7,AA
Nile Blue,#17415E,#256896,Jordy Blue,#86AFF1,#d6ffff,4.8,AA
Eclipse,#311D14,#4e2e20,Citron,#8AA205,#ddff08,5.5,AA
Purple Heart,#8C4FCC,#e07eff,Bridesmaid,#FBF0EA,#ffffff,4.6,AA
Midnight,#061431,#0a204e,Algae Green,#82DDB8,#d0ffff,11.3,AAA
Loulou,#4D0441,#7b0668,Flamingo,#F35C28,#ff9340,4.5,AA
Thunderbird,#C12C0C,#ff4613,Mint Green,#A3FCA7,#ffffff,4.7,AA
Purple Heart,#9629CE,#f042ff,Ice Cold,#B7FEEF,#ffffff,5.3,AA
Purple Heart,#8504BE,#d506ff,Pear,#DBE62E,#ffff4a,5.6,AA
Cardinal Pink,#8E106A,#e31aaa,Cold Turkey,#D7BCBA,#ffffff,4.8,AA
Bay Of Many,#1A3886,#2a5ad6,Mantis,#82C35C,#d0ff93,5.1,AA
Plantation,#204846,#337370,Pippin,#FFE1E4,#ffffff,8.3,AAA
Black Russian,#121026,#1d1a3d,Heliotrope,#CA48E7,#ff73ff,5,AA
Dark Blue,#2205C5,#3608ff,Apple,#67BA50,#a5ff80,4.6,AA
Pine Tree,#1F2305,#323808,Citron,#8D9801,#e2f302,5.1,AA
Cosmic,#784264,#c06aa0,Turquoise,#60E4D7,#9affff,4.9,AA
Black Rose,#681D33,#a62e52,Pink Flamingo,#F670FA,#ffb3ff,4.8,AA
Lunar Green,#2E4431,#4a6d4e,Lima,#4EC42A,#7dff43,4.7,AA
Mariner,#0D6BD0,#15abff,Canary,#E0FC6A,#ffffaa,4.5,AA
Purple Heart,#400DB0,#6615ff,Bright Turquoise,#5DF7E1,#95ffff,8.3,AAA
Black,#1E1A1C,#302a2d,Dodger Blue,#168FF6,#23e5ff,5.2,AA
Pigment Indigo,#550D8A,#8815dd,Lavender,#D191F5,#ffe8ff,5,AA
Sepia Black,#230002,#380003,Purple Heart,#965BDD,#f092ff,4.5,AA
Arapawa,#0A0961,#100e9b,Malachite,#06CC20,#0aff33,7.9,AAA
Rangitoto,#323D2B,#506245,Orchid,#F677D9,#ffbeff,4.7,AA
Hot Magenta,#D300BB,#ff00ff,Ceramic,#FCFFF8,#ffffff,4.6,AA
Parsley,#0D4B15,#157822,Spring Green,#23E57D,#38ffc8,6.2,AA
Astronaut,#27346E,#3e53b0,Java,#09BFB8,#0effff,5.1,AA
Deep Sea Green,#105357,#1a858b,Golden Dream,#F2DF3E,#ffff63,6.4,AA
Dark Blue,#3408E1,#530dff,Pastel Green,#59CD67,#8effa5,4.6,AA
Gondola,#230F0F,#381818,Curious Blue,#1B8AC6,#2bddff,4.8,AA
Camouflage,#33300C,#524d13,Titan White,#F5EDFF,#ffffff,11.8,AAA
Purple Heart,#7941ED,#c268ff,Gossip,#D9FBA5,#ffffff,4.8,AA
Dark Blue,#211DC8,#352eff,Granny Smith Apple,#B6DF92,#ffffea,6.7,AA
Electric Violet,#9D37F3,#fb58ff,Twilight Blue,#EFFDFE,#ffffff,4.7,AA
Dark Blue,#1928F2,#2840ff,Atlantis,#A3D531,#ffff4e,4.6,AA
Cardin Green,#163C23,#236038,Jungle Green,#45B18B,#6effde,4.6,AA
Ultramarine,#0B1699,#1223f5,Apple,#2FAF31,#4bff4e,4.6,AA
Plum,#6A0D5C,#aa1593,Electric Lime,#30F726,#4dff3d,7.9,AAA
Cinnamon,#763C04,#bd6006,Malibu,#92C9F6,#eaffff,4.9,AA
Rum,#846989,#d3a8db,Shalimar,#FAFCB9,#ffffff,4.5,AA
Electric Violet,#8415EA,#d322ff,Ripe Lemon,#F7E533,#ffff52,4.9,AA
Clairvoyant,#3E0950,#630e80,Rose Bud,#FDB6A5,#ffffff,9.1,AAA
Eminence,#6D2581,#ae3bce,Screamin Green,#51FA8C,#82ffe0,6.9,AA
Bossanova,#692F6A,#a84baa,Turquoise Blue,#4ADDF6,#76ffff,5.9,AA
Plum,#764981,#bd75ce,Mint Green,#85F59B,#d5fff8,5.1,AA
Haiti,#1B002B,#2b0045,Cabaret,#EB4F7D,#ff7ec8,5.5,AA
Bossanova,#403362,#66529d,Inch Worm,#C4F94E,#ffff7d,9.1,AAA
Tangaroa,#02062E,#030a4a,Brilliant Rose,#E949A4,#ff75ff,5.6,AA
Arapawa,#1F1473,#3220b8,Casablanca,#EBAF54,#ffff86,7.7,AAA
Purple Heart,#2D32D0,#4850ff,Reef,#B6F699,#fffff5,6.7,AA
Rosewood,#660405,#a30608,Hopbush,#DC7FB9,#ffcbff,4.9,AA
Oil,#281D13,#402e1e,Purple Heart,#A864F8,#ffa0ff,4.6,AA
Madison,#051F58,#08328d,Flamingo,#F25426,#ff863d,4.5,AA
Casal,#2F6269,#4b9da8,Inch Worm,#A8E518,#ffff26,4.5,AA
Navy Blue,#0D0484,#1506d3,Malachite,#0CCD47,#13ff72,7.2,AAA
Elm,#277B7A,#3ec5c3,White Lilac,#F7F9FD,#ffffff,4.7,AA
Catalina Blue,#12307D,#1d4dc8,Tonys Pink,#E69981,#fff5ce,5.3,AA
Violet Eggplant,#AA23A3,#ff38ff,Caribbean Green,#14FCBC,#20ffff,4.5,AA
Chicago,#555F5C,#889893,Caribbean Green,#47F8B1,#72ffff,4.8,AA
Saratoga,#4D4F07,#7b7e0b,Magic Mint,#97EBCA,#f2ffff,6.2,AA
Jagger,#2D0D55,#481588,Carnation,#F35861,#ff8d9b,4.9,AA
Tolopea,#160440,#230666,Pink Flamingo,#EA43D9,#ff6bff,5.6,AA
Dark Blue,#0B00D6,#1200ff,Electric Lime,#18E51C,#26ff2d,6.2,AA
Downriver,#082353,#0d3885,Raw Sienna,#E1925F,#ffea98,6.2,AA
Purple Heart,#4706AA,#720aff,Blue Bell,#98A1DB,#f3ffff,4.5,AA
Lucky Point,#111A67,#1b2aa5,Raw Sienna,#D28A56,#ffdd8a,5.5,AA
Jacarta,#532B6F,#8545b2,Mint Tulip,#BFEADE,#ffffff,8.3,AAA
Blue Zodiac,#1F2040,#323366,Malachite,#2CD062,#46ff9d,7.7,AAA
Scarlet Gum,#41125C,#681d93,Jordy Blue,#9ABFFC,#f6ffff,7.7,AAA
Espresso,#5F2217,#983625,Illusion,#F59CC3,#fffaff,6,AA
Madras,#3C3403,#605305,Melon,#FFC2BA,#ffffff,8.1,AAA
Tuna,#2D3648,#485673,Pistachio,#92B927,#eaff3e,5.3,AA
Deep Forest Green,#222B00,#364500,Razzle Dazzle Rose,#F248C4,#ff73ff,4.6,AA
Melanzane,#37042A,#580643,Apple,#589F32,#8dfe50,5.3,AA
Blue Ribbon,#1D44F1,#2e6dff,Yellow Green,#CDDF84,#ffffd3,4.6,AA
Lotus,#742E30,#ba4a4d,Tacao,#EAAA7F,#ffffcb,4.9,AA
Valhalla,#2C164D,#46237b,Blush,#F16D96,#ffaef0,5.5,AA
Torea Bay,#0E32A0,#1650ff,Java,#2ABDC2,#43ffff,4.6,AA
Strikemaster,#814F76,#ce7ebd,Tusk,#EEF2C6,#ffffff,5.5,AA
Palm Leaf,#19320A,#285010,Amulet,#759D7C,#bbfbc6,4.6,AA
Persian Indigo,#251277,#3b1dbe,Eastern Blue,#329DB2,#50fbff,4.6,AA
Tolopea,#15004A,#220076,Beaver,#A0826D,#ffd0ae,5.2,AA
Revolver,#260823,#3d0d38,Hot Magenta,#ED33DB,#ff52ff,5.3,AA
Dark Blue,#5D10D2,#951aff,Caribbean Green,#50EAB2,#80ffff,5.6,AA
Calypso,#0E647C,#16a0c6,Yellow Green,#D3EF99,#fffff5,5.3,AA
Persian Blue,#2239C3,#365bff,French Lilac,#E2B9D9,#ffffff,5,AA
Evening Sea,#074F3D,#0b7e62,Malachite,#56D21D,#8aff2e,4.8,AA
Jacarta,#452966,#6e42a3,Lima,#4ECB0F,#7dff18,5.6,AA
Cherry Pie,#0B0157,#12028b,Deep Blush,#E573A0,#ffb8ff,6.3,AA
Toledo,#370123,#580238,Bouquet,#B985B0,#ffd5ff,5.9,AA
Jacksons Purple,#423198,#6a4ef3,Gum Leaf,#AFCCBA,#ffffff,5.7,AA
Dark Fern,#104710,#1a721a,Gold Tips,#E0C315,#ffff22,6.2,AA
Eggplant,#73596A,#b88eaa,Aquamarine,#87FBC5,#d8ffff,4.9,AA
Black Russian,#110526,#1b083d,Hot Cinnamon,#D96F23,#ffb238,5.8,AA
Purple Heart,#661FBD,#a332ff,Emerald,#31F5A5,#4effff,5.9,AA
Hunter Green,#111A05,#1b2a08,Hollywood Cerise,#F806B0,#ff0aff,4.8,AA
Rust,#C34F22,#ff7e36,Sugar Cane,#F5FDF2,#ffffff,4.5,AA
Deep Blue,#22057B,#3608c5,Sulu,#BCE061,#ffff9b,10.2,AAA
Razzmatazz,#D90658,#ff0a8d,Buttery White,#FEFAE9,#ffffff,4.9,AA
Pompadour,#6D1D5D,#ae2e95,Shamrock,#73D9AB,#b8ffff,6.2,AA
Mardi Gras,#390031,#5b004e,Olive Drab,#5D923C,#95ea60,4.6,AA
Violet Eggplant,#84017D,#d302c8,Caribbean Green,#3CD79E,#60fffd,5,AA
Woodsmoke,#06060D,#0a0a15,Blue Ribbon,#6C63F3,#ad9eff,4.5,AA
Midnight Blue,#084A7E,#0d76ca,Spring Rain,#B3CBB4,#ffffff,5.3,AA
Maroon Flush,#AE1C3E,#ff2d63,Electric Lime,#16F324,#23ff3a,4.6,AA
Black,#12061B,#1d0a2b,Green,#0D9214,#15ea20,4.8,AA
Violent Violet,#22075B,#360b92,Pigeon Post,#9FC1E2,#feffff,9,AAA
English Holly,#0A2F13,#104b1e,Magic Mint,#B2F6DC,#ffffff,12,AAA
Purple Heart,#6701C5,#a502ff,Pastel Green,#9CEC75,#faffbb,6.1,AA
Kingfisher Daisy,#38017E,#5a02ca,Roti,#C4A03B,#ffff5e,5.7,AA
Disco,#82024B,#d00378,Electric Lime,#26FC40,#3dff66,7.3,AAA
Bunting,#0E204C,#16337a,Drover,#FBF6A8,#ffffff,14.2,AAA
Blue Gem,#430A90,#6b10e6,Apache,#E1C477,#ffffbe,7.3,AAA
Claret,#79082D,#c20d48,Bright Turquoise,#33FFEF,#52ffff,8.9,AAA
Daisy Bush,#3D1F8E,#6232e3,Olivine,#9BBB6F,#f8ffb2,5.5,AA
Buccaneer,#562926,#8a423d,Malachite,#30C833,#4dff52,5.4,AA
Ultramarine,#280297,#4003f2,Citron,#9EAF00,#fdff00,5.6,AA
Dark Blue,#1108B8,#1b0dff,Inch Worm,#99DD0D,#f5ff15,7.3,AAA
Red Violet,#CB1785,#ff25d5,Australian Mint,#EDFFB7,#ffffff,4.9,AA
Ultramarine,#071EA7,#0b30ff,Thatch,#B49A9B,#fff6f8,4.6,AA
San Marino,#5473B2,#86b8ff,Snow Drift,#FAFCF9,#ffffff,4.6,AA
Lucky Point,#142378,#2038c0,Apple,#03AE50,#05ff80,4.7,AA
Crowshead,#130D00,#1e1500,Feijoa,#9BD576,#f8ffbd,11.2,AAA
Blue Whale,#0F2F4D,#184b7b,Cadet Blue,#A8AEBE,#ffffff,6.2,AA
Deep Oak,#422311,#6a381b,Keppel,#4BA38C,#78ffe0,4.7,AA
Clover,#375008,#58800d,Emerald,#52DF8C,#83ffe0,5.3,AA
Forest Green,#258525,#3bd53b,White Lilac,#FBFAFE,#ffffff,4.5,AA
Midnight,#050D2A,#081543,Tuscany,#BC643B,#ffa05e,4.6,AA
San Juan,#334D73,#527bb8,Magic Mint,#BBF9D5,#ffffff,7.2,AAA
Don Juan,#5D5054,#958086,Spring Green,#09FCA5,#0effff,5.6,AA
Bleached Cedar,#352031,#55334e,Heliotrope,#E465FD,#ffa2ff,5.4,AA
Tom Thumb,#385B46,#5a9270,Wax Flower,#FEC5AB,#ffffff,5,AA
Ultramarine,#320F9E,#5018fd,Iceberg,#DEF5F2,#ffffff,10.9,AAA
Persian Blue,#0C37CF,#1358ff,Maverick,#D3BECC,#ffffff,4.9,AA
Tamarillo,#AA0B17,#ff1225,Robin Egg Blue,#26DFE0,#3dffff,4.6,AA
